year,republican candidate,actual,proportional,margin
1960,Richard Nixon,219,266,-47
1964,Barry Goldwater,52,206,-154
1968,Richard Nixon,301,233,68
1972,Richard Nixon,520,326,194
1976,Gerald Ford,240,258,-18
1980,Ronald Reagan,489,273,216
1984,Ronald Reagan,525,316,209
1988,George H.W. Bush,426,287,139
1992,George H.W. Bush,168,201,-33
1996,Bob Dole,159,219,-60
2000,George W. Bush,271,257,14
2004,George W. Bush,286,272,14
2008,John McCain,173,245,-72
2012,Mitt Romney,206,253,-47
2016,Donald Trump,304,247,57
